company,model_name,rating,processor_name,processor_type,generation,ram,os,storage,size,warranty(year),price
Lenovo,IdeaPad,4.4,Intel,Corei3,11thGen,8GB,  Windows 10 Operating System,512 GB SSD,15.6 inch,2,"₹63,790"
ASUS,TUF,4.4,Intel,Corei5,10thGen,8GB,  Windows 10 Operating System,512 GB SSD,15.6 Inch,1,"₹89,990"
MSI,GF65,4.4,Intel,Corei7,10thGen,16GB,  Windows 10 Operating System,1 TB SSD,15.6 inch,2,"₹1,23,990"
DELL,Vostro,3.9,Intel,Corei3,11thGen,8GB,  Windows 10 Operating System,1 TB HDD,14 inch,1,"₹41,715"
ASUS,Core,4.3,Intel,Corei3,10thGen,4GB,  Windows 10 Operating System,512 GB SSD,15.6 inch,1,"₹48,990"
acer,Aspire,4.3,Intel,Corei5,11thGen,8GB,  Windows 10 Operating System,1 TB HDD|256 GB SSD,15.6 inch,1,"₹54,999"
MSI,GF63,4.4,Intel,HexaCore,10th,8GB,  Windows 10 Operating System,1 TB HDD|256 GB SSD,15.6 inch,2,"₹72,990"
ASUS,VivoBook,4.4,Intel,Corei5,10thGen,8GB,  Windows 10 Operating System,512 GB SSD,14 inch,1,"₹68,990"
Lenovo,IdeaPad,4.2,Intel,Corei3,10thGen,8GB,  Windows 10 Operating System,1 TB HDD,15.6 inch,1,"₹52,190"
ASUS,VivoBook,4.6,Intel,Corei3,10thGen,8GB,  Windows 11 Operating System,512 GB SSD,15.6 inch,1,"₹50,990"
MSI,GF63,4.5,Intel,Corei5,10thGen,8GB,  Windows 10 Operating System,512 GB SSD,15.6 inch,2,"₹83,990"
HP,Ryzen,4.4,AMD,Ryzen3,,8GB,  Windows 10 Operating System,256 GB SSD,15.6 inch,1,"₹46,055"
ASUS,ASUS,4.5,Intel,Corei5,11thGen,8GB,  Windows 10 Operating System,1 TB SSD,15.6 inch,,"₹1,16,990"
Lenovo,Ideapad,4.3,Intel,Corei5,11thGen,8GB,  Windows 10 Operating System,512 GB SSD,14 Inch,2,"₹83,890"
ASUS,VivoBook,4.3,Intel,Corei3,11thGen,4GB,Windows 10 Operating System,256 GB SSD,15.6 inch,1,"₹49,990"
ASUS,Ryzen,4.3,AMD,Ryzen3,,8GB,  Windows 10 Operating System,256 GB SSD,15.6 inch,1,"₹46,990"
ASUS,ASUS,4.5,Intel,Corei5,10thGen,16GB,  Windows 10 Operating System,512 GB SSD,15.6 inch,,"₹89,990"
Lenovo,ThinkPad,4.4,AMD,Ryzen5,,8GB,  Windows 10 Operating System,256 GB SSD,14 inch,1,"₹64,038"
HP,Pavilion,4.6,Intel,Corei5,11thGen,16GB,  Windows 10 Operating System,512 GB SSD,14 inch,1,"₹81,356"
DELL,INSPIRON,4.1,Intel,Corei3,10thGen,8GB,Windows 10 Operating System,1 TB HDD,15.6 inch,,"₹48,346"
ASUS,VivoBook,4.3,Intel,Corei5,11thGen,8GB,Windows 10 Operating System,1 TB HDD|256 GB SSD,15.6 inch,1,"₹70,990"
acer,Aspire,3.9,AMD,AthlonDual,,4GB,  Windows 10 Operating System,256 GB SSD,15.6 inch,1,"₹32,999"
ASUS,VivoBook,4.5,Intel,Corei5,11thGen,8GB,  Windows 10 Operating System,512 GB SSD,14 inch,1,"₹73,990"
ASUS,ASUS,4.5,Intel,Corei7,11thGen,16GB,  Windows 10 Operating System,1 TB SSD,15.6 inch,,"₹1,36,990"
Nokia,PureBook,4.4,Intel,Corei5,10thGen,8GB,  Windows 10 Operating System,512 GB SSD,14 inch,,"₹90,000"
HP,Pavilion,4.5,AMD,Ryzen7,,16GB,  Windows 10 Operating System,1 TB HDD|256 GB SSD,15.6 inch,1,"₹93,564"
MSI,GF65,4.6,Intel,HexaCore,10th,16GB,  Windows 10 Operating System,512 GB SSD,15.6 inch,2,"₹1,06,990"
